ZIP,POP,AREA_MILE,STATE,COUNTY,POP_DEN,Type
01095,14569,22.495,25,13,647.6550344521005,Rural
01096,2564,31.665,25,15,80.97268277277752,Rural
01097,78,1.874,25,13,41.6221985058698,Rural
01098,1117,31.363000000000003,25,15,35.61521538118164,Rural
01103,2430,0.46,25,13,5282.608695652174,Urban
01104,23183,5.216,25,13,4444.5935582822085,Urban
01105,11576,1.2429999999999999,25,13,9312.952534191472,Urban
01106,15983,9.273,25,13,1723.6061684460262,Suburban
01107,11474,1.507,25,13,7613.802256138023,Urban
01108,28449,3.725,25,13,7637.315436241611,Urban
01109,30139,5.442,25,13,5538.221242190371,Urban
01118,14293,3.595,25,13,3975.799721835883,Urban
01119,13091,3.55,25,13,3687.605633802817,Urban
01128,2695,1.115,25,13,2417.040358744395,Suburban
01129,7220,3.427,25,13,2106.7989495185293,Suburban
01151,9295,2.369,25,13,3923.5964542000843,Urban
01199,0,0.011000000000000001,25,13,0.0,Rural
01201,45001,52.935,25,3,850.1180693303107,Rural
01220,8266,24.590999999999998,25,3,336.139237932577,Rural
01222,829,3.307,25,3,250.6803749622014,Rural
01223,2247,69.771,25,3,32.205357526766136,Rural
01224,176,0.278,25,3,633.0935251798561,Rural
01225,3192,25.109,25,3,127.12573180931139,Rural
01226,6885,26.364,25,3,261.15157032316796,Rural
01229,102,0.733,25,3,139.15416098226467,Rural
01230,8195,91.51799999999999,25,3,89.54522607574468,Rural
01235,2666,45.651,25,3,58.3995969420166,Rural
01236,1422,4.803999999999999,25,3,296.0033305578685,Rural
01237,2755,61.833,25,3,44.555496256044506,Rural
01238,5950,34.835,25,3,170.80522463040046,Rural
01240,4592,21.375999999999998,25,3,214.82035928143716,Rural
01242,429,0.498,25,3,861.4457831325301,Rural
01243,381,18.633,25,15,20.447592980196426,Rural
01244,82,2.45,25,3,33.46938775510204,Rural
01245,870,27.985,25,3,31.088082901554404,Rural
01247,15725,52.536,25,3,299.3185625095173,Rural
01253,734,18.29,25,3,40.13121924548934,Rural
01254,985,14.581,25,3,67.55366572937385,Rural
01255,869,51.824,25,3,16.76829268292683,Rural
01256,764,35.861,25,3,21.30448119126628,Rural
01257,2164,36.22,25,3,59.74599668691331,Rural
01258,359,25.826999999999998,25,3,13.900181980098347,Rural
01259,556,25.313000000000002,25,3,21.964998222257336,Rural
01260,545,2.511,25,3,217.04500199123854,Rural
01262,1196,12.037,25,3,99.3603057240176,Rural
01264,161,11.342,25,3,14.195027332040205,Rural
01266,1380,26.054000000000002,25,3,52.96691486911798,Rural
01267,7846,54.521,25,3,143.90785202032245,Rural
01270,814,31.854,25,3,25.55409053807999,Rural
01301,17730,25.496,25,11,695.4032005020396,Rural
01330,1468,33.317,25,11,44.0615901791878,Rural
01331,13205,53.225,25,27,248.09769844997652,Rural
01337,2598,37.244,25,11,69.75620234131672,Rural
01338,138,3.452,25,11,39.97682502896871,Rural
01339,1461,54.928000000000004,25,11,26.598456160792306,Rural
01340,1689,43.787,25,11,38.57309247036792,Rural
01341,1716,35.711999999999996,25,11,48.05107526881721,Rural
01342,1768,17.848,25,11,99.0587180636486,Rural
01343,46,4.868,25,3,9.449465899753491,Rural
01344,1582,13.610999999999999,25,11,116.22952024098157,Rural
01346,465,21.355999999999998,25,11,21.773740400824128,Rural
01347,133,0.578,25,11,230.1038062283737,Rural
01349,1106,7.689,25,11,143.84185199635843,Rural
01350,95,10.71,25,11,8.870214752567692,Rural
01351,2312,20.921,25,11,110.51096983891783,Rural
01354,1656,13.77,25,11,120.26143790849673,Rural
01355,915,47.363,25,11,19.318877604881447,Rural
01360,3006,34.263000000000005,25,11,87.73312319411609,Rural
01364,7832,39.234,25,11,199.62277616353163,Rural
01366,1202,40.378,25,27,29.768685918074198,Rural
01367,686,26.531999999999996,25,11,25.85557063169004,Rural
01368,1363,41.839,25,27,32.57726045077559,Rural
01370,3879,49.81,25,11,77.87592852840794,Rural
01373,4184,24.169,25,11,173.11431999668997,Rural
01375,3673,14.220999999999998,25,11,258.2800084382252,Rural
01376,5101,2.758,25,11,1849.5286439448876,Suburban
01378,734,34.025999999999996,25,11,21.571739258214308,Rural
01379,775,30.203000000000003,25,11,25.659702678541866,Rural
01420,40441,30.32,25,27,1333.806068601583,Suburban
01430,6171,36.948,25,27,167.01851250405977,Rural
01431,3196,23.664,25,17,135.05747126436782,Rural
01432,7594,8.46,25,17,897.6359338061465,Rural
01434,1716,5.278,25,17,325.12315270935966,Rural
01436,3823,9.59,25,27,398.6444212721585,Rural
01438,635,0.542,25,27,1171.5867158671585,Suburban
01440,20334,24.033,25,27,846.0866308825365,Rural
01450,11182,32.775,25,17,341.17467581998477,Rural
01451,4629,19.141,25,27,241.83689462410535,Rural
01452,4537,41.053000000000004,25,27,110.51567485932817,Rural
01453,41336,28.479,25,27,1451.4554584079497,Suburban
01460,9538,16.515,25,17,577.5355737208598,Rural
01462,11087,26.426,25,27,419.5489290849921,Rural
01463,12031,22.576,25,17,532.9110559886606,Rural
01464,7433,14.982999999999999,25,17,496.09557498498305,Rural
01467,560,1.889,25,27,296.45314981471677,Rural
01468,3704,21.404,25,27,173.05176602504204,Rural
01469,7430,22.775,25,17,326.23490669593855,Rural
01473,7480,35.44,25,27,211.06094808126412,Rural
01474,1939,9.931000000000001,25,17,195.2472057194643,Rural
01475,10613,42.848,25,27,247.6895070948469,Rural
01501,16239,15.460999999999999,25,27,1050.3201604035962,Suburban
01503,3061,12.972999999999999,25,27,235.95159176751716,Rural
01504,9068,11.11,25,27,816.2016201620163,Rural
01505,4480,16.057000000000002,25,27,279.00604097901225,Rural
01506,3386,15.527999999999999,25,27,218.05770221535292,Rural
01507,13292,42.178999999999995,25,27,315.1331231181394,Rural
01510,13759,5.653,25,27,2433.928887316469,Suburban
01515,2259,9.873,25,27,228.80583409298086,Rural
01516,8689,36.77,25,27,236.3067718248572,Rural
01518,3009,8.883,25,27,338.73691320499836,Rural
01519,6548,10.912,25,27,600.0733137829911,Rural
01520,14880,18.081,25,27,822.9633316741331,Rural
01521,2374,12.286,25,13,193.22806446361713,Rural
01522,3380,16.38,25,27,206.34920634920636,Rural
01523,7811,25.199,25,27,309.97261796103015,Rural
01524,6649,15.981,25,27,416.05656717351854,Rural
01525,128,0.449,25,27,285.07795100222717,Rural
01527,13431,15.578,25,27,862.1774297085634,Rural
01529,3218,4.864,25,27,661.5953947368421,Rural
01531,1106,20.761999999999997,25,27,53.27039784221174,Rural
01532,14846,18.471,25,27,803.7464132965189,Rural
01534,6406,8.758,25,27,731.4455355103905,Rural
01535,4761,21.268,25,27,223.85743840511566,Rural
01536,7557,8.336,25,27,906.5499040307102,Rural
01537,2671,6.982,25,27,382.5551417931825,Rural
01540,10921,19.345,25,27,564.5386404755751,Rural
01541,3451,35.431999999999995,25,27,97.39783246782571,Rural
01542,2366,4.026,25,27,587.6800794833582,Rural
01543,8402,35.116,25,27,239.26415309260736,Rural
01545,36103,20.746,25,27,1740.2390822327197,Suburban
01550,16824,20.239,25,27,831.2663669153613,Rural
01560,4504,3.5660000000000003,25,27,1263.0398205272013,Suburban
01561,249,0.12300000000000001,25,27,2024.390243902439,Suburban
01562,11801,32.833,25,27,359.42496878140895,Rural
01564,7954,30.616,25,27,259.7987980141103,Rural
01566,6442,28.348000000000003,25,27,227.2470721038521,Rural
01568,7532,21.456,25,27,351.0439970171514,Rural
01569,13881,29.078000000000003,25,27,477.3712084737602,Rural
01570,16838,12.357000000000001,25,27,1362.6284696932912,Suburban
01571,11608,20.831999999999997,25,27,557.2196620583718,Rural
01581,18706,20.601,25,27,908.01417406922,Rural
01583,7602,12.619000000000002,25,27,602.4249148109992,Rural
01585,4606,25.548000000000002,25,27,180.28808517300766,Rural
01588,9731,8.609,25,27,1130.32872575212,Suburban
01590,9184,32.016,25,27,286.85657171414294,Rural
01602,23812,5.766,25,27,4129.725979882067,Urban
